Wavelength,N8978(Veg)
0.365,1.014194121
0.366,1.014423546
0.367,1.013404648
0.368,1.01401753
0.369,1.017149314
0.37,1.017731912
0.371,1.017272063
0.372,1.017307171
0.373,1.017665714
0.374,1.018660189
0.375,1.018773554
0.376,1.01825438
0.377,1.018329345
0.378,1.018443571
0.379,1.018921546
0.38,1.020863295
0.381,1.022164613
0.382,1.024170962
0.383,1.027513144
0.384,1.031369486
0.385,1.036501532
0.386,1.043170492
0.387,1.051041003
0.388,1.059912838
0.389,1.068962441
0.39,1.079478258
0.391,1.09226366
0.392,1.105134181
0.393,1.118300419
0.394,1.131775598
0.395,1.145605864
0.396,1.15964609
0.397,1.174581926
0.398,1.190302699
0.399,1.205972176
0.4,1.221135543
0.401,1.236030374
0.402,1.251804953
0.403,1.26820645
0.404,1.283906476
0.405,1.298789349
0.406,1.313376666
0.407,1.327561471
0.408,1.341474322
0.409,1.35496546
0.41,1.368865117
0.411,1.38294217
0.412,1.396996828
0.413,1.410767632
0.414,1.424217056
0.415,1.437700928
0.416,1.450819312
0.417,1.463629221
0.418,1.476517251
0.419,1.489518069
0.42,1.502328798
0.421,1.514805265
0.422,1.527318546
0.423,1.539554098
0.424,1.551265796
0.425,1.562795404
0.426,1.574275434
0.427,1.585676489
0.428,1.596719213
0.429,1.607491015
0.43,1.617929516
0.431,1.628192819
0.432,1.638614283
0.433,1.648669803
0.434,1.658288719
0.435,1.667892116
0.436,1.67756925
0.437,1.687466394
0.438,1.697762584
0.439,1.707908462
0.44,1.717965521
0.441,1.727980649
0.442,1.737781609
0.443,1.747349233
0.444,1.756984776
0.445,1.76662859
0.446,1.776240977
0.447,1.786332692
0.448,1.796262362
0.449,1.805780133
0.45,1.815056488
0.451,1.824430096
0.452,1.833367215
0.453,1.841872765
0.454,1.850214648
0.455,1.858111596
0.456,1.865271065
0.457,1.872012628
0.458,1.878636544
0.459,1.884957454
0.46,1.890964954
0.461,1.896759629
0.462,1.902280965
0.463,1.907494051
0.464,1.912582596
0.465,1.91769055
0.466,1.922613247
0.467,1.927215218
0.468,1.931845483
0.469,1.936452328
0.47,1.940731869
0.471,1.944863231
0.472,1.948984151
